NO,SIDO_NM,GOV_NM,LOCALFOOD_CERT_NO,CA_DT_START,CA_DT_END,CC_DT,WP_ROAD_ADD,WP_LOT_ADD,PC_ROAD_ADD,PC_LOT_ADD,ITEM_NM,CULT_AREA,CULT_SCALE,CG_DT,BIZ_OPR_NM,CRN,PHONE_NO,AGENCY_NM,ST_DT
000311,강원도,원주시,2017-0202-0130,2017-06-29,2018-06-28,,,,강원도 원주시 호저면 산현리 440-6,,감자,1773,,2017-06-29,원호성,,,강원도 원주시청,2017-11-03
000312,강원도,원주시,2017-0206-0091,2017-06-14,2018-06-13,,,,강원도 원주시 호저면 옥산리 584-1,,표고버섯,3216,,2017-06-14,천현숙,,,강원도 원주시청,2017-11-03
000313,강원도,원주시,2017-0203-0111,2017-06-20,2018-06-19,,,,강원도 원주시 호저면 주산리 119-1,,양상추,1724,,2017-06-20,차선옥,,,강원도 원주시청,2017-11-03
000314,강원도,원주시,2017-0204-0146,2017-07-03,2018-07-02,,,,강원도 원주시 호저면 주산리 64,,양파,1660,,2017-07-03,송영규,,,강원도 원주시청,2017-11-03
000315,강원도,원주시,2017-0302-0197,2017-07-24,2018-07-23,,,,강원도 원주시 호저면 주산리 959,,복숭아,2235,,2017-07-24,정인철,,,강원도 원주시청,2017-11-03
000316,강원도,원주시,2017-0302-0198,2017-07-24,2018-07-23,,,,강원도 원주시 호저면 주산리 산22,,복숭아,8250,,2017-07-24,차선옥,,,강원도 원주시청,2017-11-03
000317,강원도,원주시,2017-0202-0095,2017-06-19,2018-06-18,,,,강원도 원주시 흥업면 대안리 1017-4,,무,1165,,2017-06-19,김종철,,,강원도 원주시청,2017-11-03
000318,강원도,원주시,2017-0203-0060,2017-05-24,2018-05-23,,,,강원도 원주시 흥업면 대안리 1028,,배추,1127,,2017-05-24,지상철,,,강원도 원주시청,2017-11-03
000319,강원도,원주시,2017-0203-0333,2017-11-02,2018-11-01,,,,강원도 원주시 흥업면 대안리 1029-2,,배추,491,,2017-11-02,지상철,,,강원도 원주시청,2017-11-03
000320,강원도,원주시,2017-0204-0096,2017-06-19,2018-06-18,,,,강원도 원주시 흥업면 대안리 192,,마늘,1137,,2017-06-19,김종철,,,강원도 원주시청,2017-11-03
000321,강원도,원주시,2017-0204-0097,2017-06-19,2018-06-18,,,,강원도 원주시 흥업면 대안리 192,,양파,1137,,2017-06-19,김종철,,,강원도 원주시청,2017-11-03
000322,강원도,원주시,2017-0202-0140,2017-07-03,2018-07-02,,,,강원도 원주시 흥업면 대안리 26,,감자,3604,,2017-07-03,김영호,,,강원도 원주시청,2017-11-03
000323,강원도,원주시,2017-0202-0141,2017-07-03,2018-07-02,,,,강원도 원주시 흥업면 대안리 941-2,,감자,1986,,2017-07-03,김영호,,,강원도 원주시청,2017-11-03
000324,강원도,원주시,2017-0202-0156,2017-07-03,2018-07-02,,,,강원도 원주시 흥업면 매지리 220-1,,감자,2926,,2017-07-03,전영환,,,강원도 원주시청,2017-11-03
000325,강원도,원주시,2017-0202-0149,2017-07-03,2018-07-02,,,,강원도 원주시 흥업면 매지리 911~913,,감자,3000,,2017-07-03,우재훈,,,강원도 원주시청,2017-11-03
000326,강원도,원주시,2017-0204-0150,2017-07-03,2018-07-02,,,,강원도 원주시 흥업면 매지리 911~913,,양파,3000,,2017-07-03,우재훈,,,강원도 원주시청,2017-11-03
000327,강원도,원주시,2017-0204-0065,2017-06-01,2018-05-31,,,,강원도 원주시 흥업면 매지리 911~913,,실파,3000,,2017-06-01,우재훈,,,강원도 원주시청,2017-11-03
000328,강원도,원주시,2017-0203-0020,2017-04-17,2018-04-16,,,,강원도 원주시 흥업면 매지리 915-4,,부추,719,,2017-04-17,우재훈,,,강원도 원주시청,2017-11-03
000329,강원도,원주시,2017-0203-0019,2017-04-17,2018-04-16,,,,강원도 원주시 흥업면 매지리 915-8,,시금치,2106,,2017-04-17,우재훈,,,강원도 원주시청,2017-11-03
000330,강원도,원주시,2017-0203-0066,2017-06-01,2018-05-31,,,,강원도 원주시 흥업면 매지리 922,,얼갈이배추,278,,2017-06-01,우재훈,,,강원도 원주시청,2017-11-03
000331,강원도,원주시,2017-0204-0167,2017-07-11,2018-07-10,,,,강원도 원주시 흥업면 매지리 986,,대파,3841,,2017-07-11,유병석,,,강원도 원주시청,2017-11-03
000332,강원도,원주시,2017-0202-0012,2017-03-29,2018-03-28,,,,강원도 원주시 흥업면 사제리 1412-3,,돼지감자,1646,,2017-03-29,김기성,,,강원도 원주시청,2017-11-03
